Device: mps
Parameters: 1,785,137
Ep 28,600 | Steps  1,035,376 | Reward    14.0 | Lines   8.5 | Len  55.1 | Eps 0.050
Ep 28,800 | Steps  1,045,806 | Reward    12.5 | Lines   7.5 | Len  52.1 | Eps 0.050
Ep 29,000 | Steps  1,055,640 | Reward    10.9 | Lines   6.3 | Len  49.2 | Eps 0.050
Ep 29,200 | Steps  1,065,835 | Reward    11.8 | Lines   7.0 | Len  51.0 | Eps 0.050
Ep 29,400 | Steps  1,075,487 | Reward    10.6 | Lines   6.1 | Len  48.3 | Eps 0.050
Ep 29,600 | Steps  1,086,219 | Reward    13.4 | Lines   8.2 | Len  53.7 | Eps 0.050
Ep 29,800 | Steps  1,097,396 | Reward    14.5 | Lines   9.0 | Len  55.9 | Eps 0.050
Ep 30,000 | Steps  1,108,296 | Reward    14.4 | Lines   9.1 | Len  54.5 | Eps 0.050
Ep 30,200 | Steps  1,119,513 | Reward    15.1 | Lines   9.5 | Len  56.1 | Eps 0.050
Ep 30,400 | Steps  1,130,323 | Reward    14.2 | Lines   8.8 | Len  54.0 | Eps 0.050
Ep 30,600 | Steps  1,139,810 | Reward    10.6 | Lines   6.3 | Len  47.4 | Eps 0.050
Ep 30,800 | Steps  1,149,723 | Reward    11.7 | Lines   7.0 | Len  49.6 | Eps 0.050
Ep 31,000 | Steps  1,159,959 | Reward    12.6 | Lines   7.8 | Len  51.2 | Eps 0.050
Ep 31,200 | Steps  1,170,623 | Reward    13.6 | Lines   8.4 | Len  53.3 | Eps 0.050
Ep 31,400 | Steps  1,180,752 | Reward    11.7 | Lines   7.0 | Len  50.6 | Eps 0.050
Ep 31,600 | Steps  1,191,688 | Reward    13.8 | Lines   8.5 | Len  54.7 | Eps 0.050
Ep 31,800 | Steps  1,203,177 | Reward    15.3 | Lines   9.6 | Len  57.4 | Eps 0.050
Ep 32,000 | Steps  1,215,432 | Reward    17.4 | Lines  11.0 | Len  61.3 | Eps 0.050
Ep 32,200 | Steps  1,225,415 | Reward    11.3 | Lines   6.6 | Len  49.9 | Eps 0.050
Ep 32,400 | Steps  1,236,030 | Reward    12.7 | Lines   7.7 | Len  53.1 | Eps 0.050
Ep 32,600 | Steps  1,248,087 | Reward    17.0 | Lines  10.8 | Len  60.3 | Eps 0.050
Ep 32,800 | Steps  1,261,496 | Reward    20.9 | Lines  13.6 | Len  67.0 | Eps 0.050
Ep 33,000 | Steps  1,275,913 | Reward    23.4 | Lines  15.3 | Len  72.1 | Eps 0.050
Ep 33,200 | Steps  1,289,087 | Reward    20.4 | Lines  13.1 | Len  65.9 | Eps 0.050
Ep 33,400 | Steps  1,300,897 | Reward    16.8 | Lines  10.5 | Len  59.0 | Eps 0.050
Ep 33,600 | Steps  1,311,702 | Reward    14.3 | Lines   8.8 | Len  54.0 | Eps 0.050
Ep 33,800 | Steps  1,320,797 | Reward     9.2 | Lines   5.2 | Len  45.5 | Eps 0.050
Ep 34,000 | Steps  1,330,350 | Reward    10.0 | Lines   5.8 | Len  47.8 | Eps 0.050
Ep 34,200 | Steps  1,341,161 | Reward    13.6 | Lines   8.3 | Len  54.1 | Eps 0.050
Ep 34,400 | Steps  1,351,288 | Reward    11.7 | Lines   7.0 | Len  50.6 | Eps 0.050
Ep 34,600 | Steps  1,361,160 | Reward    10.9 | Lines   6.3 | Len  49.4 | Eps 0.050
Ep 34,800 | Steps  1,370,817 | Reward    10.3 | Lines   5.9 | Len  48.3 | Eps 0.050
Ep 35,000 | Steps  1,380,337 | Reward    10.1 | Lines   5.9 | Len  47.6 | Eps 0.050
